RespondentID,theta_hat,total_score
R412,0.2947,17
R413,1.992,27
R414,-0.2145,14
R415,0.8039,20
R416,-0.2145,14
R417,0.2947,17
R418,0.8039,20
R419,0.2947,17
R420,0.4644,18
R421,-0.554,12
R422,1.8223,26
R423,0.9736,21
R424,-1.0632,9
R425,0.2947,17
R426,-1.4027,7
R427,-0.3843,13
R428,-1.233,8
R429,0.6341,19
R430,2.1617,28
R431,1.3131,23
R432,1.1433,22
R433,-1.233,8
R434,0.4644,18
R435,1.4828,24
R436,-0.2145,14
R437,0.1249,16
R438,-1.233,8
R439,-1.0632,9
R440,-2.0816,3
R441,1.6525,25
R442,0.6341,19
R443,0.2947,17
R444,-0.554,12
R445,-1.0632,9
R446,-0.0448,15
R447,-1.0632,9
R448,-1.0632,9
R449,-0.2145,14
R450,-0.2145,14
R451,0.4644,18
R452,-0.8935,10
R453,-0.7237,11
R454,-0.7237,11
R455,1.4828,24
R456,-1.0632,9
R457,0.1249,16
R458,0.6341,19
R459,-0.3843,13
R460,-0.554,12
R461,1.8223,26
R462,0.8039,20
R463,-0.2145,14
R464,-2.0816,3
R465,0.8039,20
R466,1.8223,26
R467,-0.0448,15
R468,-1.7422,5
R469,-0.7237,11
R470,-0.554,12
R471,0.9736,21
R472,0.1249,16
R473,0.2947,17
R474,1.4828,24
R475,1.6525,25
R476,-1.4027,7
R477,0.9736,21
R478,-0.7237,11
R479,-0.8935,10
R480,0.4644,18
R481,-1.4027,7
R482,-0.0448,15
R483,-0.3843,13
R484,0.8039,20
R485,-0.8935,10
R486,0.2947,17
R487,-0.3843,13
R488,1.8223,26
R489,-0.7237,11
R490,-1.0632,9
R491,-0.0448,15
R492,-0.8935,10
R493,-1.0632,9
R494,1.1433,22
R495,1.1433,22
R496,-2.2514,2
R497,-0.7237,11
R498,-0.8935,10
R499,1.1433,22
R500,1.3131,23
